id	feature	kind	query	baseline_file	target_file	baseline_definition	target_definition	test	obsolete_locations	disposition
wrap-set-mode-held-out	SetWrapMode	held-out	display long lines on multiple screen rows	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::SetWrapMode	Editor::SetWrapMode	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-count-held-out	WrapCount	held-out	calculate visual row count for one source line	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::WrapCount	Editor::WrapCount	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
scroll-width-held-out	SetScrollWidth	held-out	increase the horizontal scrollbar range	scintilla/src/Editor.cxx	scintilla/src/EditorScrolling.cxx	case Message::SetScrollWidth	Editor::SetScrollWidth	scintilla/test/editor/EditorScrollingTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
read-only-held-out	SetReadOnly	held-out	make edit attempts fail without changing text	scintilla/src/Editor.cxx	scintilla/src/EditorDocument.cxx	case Message::SetReadOnly	Editor::SetReadOnly	scintilla/test/editor/EditorDocumentTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
mod-event-mask-held-out	SetModEventMask	held-out	suppress selected document change callbacks	scintilla/src/Editor.cxx	scintilla/src/EditorNotifications.cxx	case Message::SetModEventMask	Editor::SetModEventMask	scintilla/test/editor/EditorNotificationsTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
search-target-held-out	SearchInTarget	held-out	find text between target start and target end	scintilla/src/Editor.cxx	scintilla/src/EditorSearch.cxx	Editor::SearchInTarget	Editor::SearchInTarget	scintilla/test/editor/EditorSearchTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
undo-held-out	Undo	held-out	reverse the last edit and recover caret state	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::Undo	case EditorCommand::Undo	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
line-down-held-out	LineDown	held-out	go to the next screen row at the same column	scintilla/src/Editor.cxx	scintilla/src/EditorCommands.cxx	case Message::LineDown	case EditorCommand::LineDown	scintilla/test/editor/EditorCommandsTest.cxx	scintilla/src/Editor.cxx;scintilla/src/KeyMap.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	command
autocomplete-show-held-out	AutoCShow	held-out	offer completion choices after a prefix	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorAutocomplete.cxx	case Message::AutoCShow	ScintillaBase::AutoCShow	scintilla/test/editor/EditorAutocompleteTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
call-tip-show-held-out	CallTipShow	held-out	open signature help beside the insertion point	scintilla/src/ScintillaBase.cxx	scintilla/src/EditorCallTips.cxx	ScintillaBase::CallTipShow	ScintillaBase::CallTipShow	scintilla/test/editor/EditorCallTipsTest.cxx	scintilla/src/ScintillaBase.cxx;scintilla/src/ScintillaBase.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
format-range-held-out	FormatRange	held-out	paginate text into a printer rectangle	scintilla/src/Editor.cxx	scintilla/src/EditorPrinting.cxx	Editor::FormatRange	Editor::FormatRange	scintilla/test/editor/EditorPrintingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
technology-held-out	SetTechnology	held-out	switch between GDI and Direct2D rendering	scintilla/src/Editor.cxx	MESSAGE_REMOVAL.md	case Message::SetTechnology	SetTechnology	scintilla/test/editor/EditorDrawingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	delete
