id	feature	kind	query	baseline_file	target_file	baseline_definition	target_definition	test	obsolete_locations	disposition
wrap-set-mode-exact	SetWrapMode	exact	SetWrapMode	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::SetWrapMode	Editor::SetWrapMode	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-set-mode-spaced	SetWrapMode	spaced	set wrap mode	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::SetWrapMode	Editor::SetWrapMode	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-set-mode-intent	SetWrapMode	intent	turn wrapping on for long lines	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::SetWrapMode	Editor::SetWrapMode	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-set-mode-effect	SetWrapMode	effect	reset horizontal scrolling when wrapping changes	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::SetWrapMode	Editor::SetWrapMode	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-count-exact	WrapCount	exact	WrapCount	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::WrapCount	Editor::WrapCount	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-count-spaced	WrapCount	spaced	wrap count	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::WrapCount	Editor::WrapCount	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-count-intent	WrapCount	intent	find how many display lines a document line wraps into	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::WrapCount	Editor::WrapCount	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
wrap-count-effect	WrapCount	effect	layout one line and return its number of wrapped rows	scintilla/src/Editor.cxx	scintilla/src/EditorWrapping.cxx	Editor::WrapCount	Editor::WrapCount	scintilla/test/editor/EditorWrappingTest.cxx	scintilla/src/Editor.cxx;scintilla/src/Editor.h;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
scroll-width-exact	SetScrollWidth	exact	SetScrollWidth	scintilla/src/Editor.cxx	scintilla/src/EditorScrolling.cxx	case Message::SetScrollWidth	Editor::SetScrollWidth	scintilla/test/editor/EditorScrollingTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
scroll-width-spaced	SetScrollWidth	spaced	set scroll width	scintilla/src/Editor.cxx	scintilla/src/EditorScrolling.cxx	case Message::SetScrollWidth	Editor::SetScrollWidth	scintilla/test/editor/EditorScrollingTest.cxx	scintilla/src/Editor.cxx;scintilla/ScintillaDoc.html;scintilla/include/Scintilla.iface;scintilla/include/ScintillaMessages.h	retain
